hotel,portal,checkin,checkout,nights,price_per_night_JPY,total_price_JPY,currency,status,scraped_at,url
Section L Ueno Hirokoji,Booking.com,2026-10-27,2026-11-10,14,44345,620836,JPY,ok [.prco-valign-middle-helper],2026-07-22T04:22:45,https://www.booking.com/hotel/jp/section-l-ueno-hirokoji.en-gb.html?checkin=2026-10-27&checkout=2026-11-10&group_adults=1&no_rooms=1&group_children=0&selected_currency=JPY
Section L Akihabara,Booking.com,2026-10-27,2026-11-10,14,37705,527864,JPY,ok [.prco-valign-middle-helper],2026-07-22T04:22:57,https://www.booking.com/hotel/jp/section-l-akihabara.en-gb.html?checkin=2026-10-27&checkout=2026-11-10&group_adults=1&no_rooms=1&group_children=0&selected_currency=JPY
